province,month,temperature,humidity,rainfall
Bà Rịa - Vũng Tàu,201508,27.39,85.26,4.22
Bà Rịa - Vũng Tàu,201509,27.37,85.99,6.1
Bà Rịa - Vũng Tàu,201510,27.54,83.74,5.65
Bà Rịa - Vũng Tàu,201511,27.33,84.52,2.82
Bà Rịa - Vũng Tàu,201512,27.02,78.5,2.03
Bà Rịa - Vũng Tàu,201513,27.87,76.2,3.08
Bà Rịa - Vũng Tàu,201601,27.5,73.7,0.03
Bà Rịa - Vũng Tàu,201602,27.78,64.21,0.02
Bà Rịa - Vũng Tàu,201603,28.37,65.88,0.0
Bà Rịa - Vũng Tàu,201604,30.58,64.46,0.06
Bà Rịa - Vũng Tàu,201605,30.35,72.48,8.1
Bà Rịa - Vũng Tàu,201606,27.8,84.9,5.52
Bà Rịa - Vũng Tàu,201607,27.42,86.03,5.35
Bà Rịa - Vũng Tàu,201608,27.33,87.24,4.01
Bà Rịa - Vũng Tàu,201609,27.24,86.23,5.29
Bà Rịa - Vũng Tàu,201610,26.75,89.19,9.93
Bà Rịa - Vũng Tàu,201611,26.96,86.94,4.78
Bà Rịa - Vũng Tàu,201612,25.92,86.57,4.7
Bà Rịa - Vũng Tàu,201613,27.83,79.05,4.0
Bà Rịa - Vũng Tàu,201701,25.89,83.12,1.68
Bà Rịa - Vũng Tàu,201702,26.15,76.77,0.5
Bà Rịa - Vũng Tàu,201703,27.72,72.3,0.35
Bà Rịa - Vũng Tàu,201704,29.25,72.01,1.42
Bà Rịa - Vũng Tàu,201705,29.3,77.35,4.6
Bà Rịa - Vũng Tàu,201706,28.13,82.32,3.96
Bà Rịa - Vũng Tàu,201707,27.28,85.02,6.17
Bà Rịa - Vũng Tàu,201708,27.26,87.35,5.85
Bà Rịa - Vũng Tàu,201709,27.68,85.68,4.73
Bà Rịa - Vũng Tàu,201710,27.11,86.03,10.82
Bà Rịa - Vũng Tàu,201711,26.84,87.21,3.87
Bà Rịa - Vũng Tàu,201712,25.55,82.65,2.22
Bà Rịa - Vũng Tàu,201713,27.35,81.52,3.88
Bà Rịa - Vũng Tàu,201801,26.01,81.6,1.16
Bà Rịa - Vũng Tàu,201802,26.39,70.79,0.04
Bà Rịa - Vũng Tàu,201803,28.37,68.05,0.37
Bà Rịa - Vũng Tàu,201804,29.76,65.86,0.49
Bà Rịa - Vũng Tàu,201805,29.52,73.76,3.82
Bà Rịa - Vũng Tàu,201806,27.52,84.82,9.2
Bà Rịa - Vũng Tàu,201807,27.0,88.51,9.41
Bà Rịa - Vũng Tàu,201808,26.75,88.61,7.68
Bà Rịa - Vũng Tàu,201809,26.96,87.22,7.82
Bà Rịa - Vũng Tàu,201810,27.24,84.69,6.0
Bà Rịa - Vũng Tàu,201811,26.96,84.72,3.71
Bà Rịa - Vũng Tàu,201812,26.74,84.13,1.71
Bà Rịa - Vũng Tàu,201813,27.44,80.3,4.31
Bà Rịa - Vũng Tàu,201901,26.01,77.59,0.99
Bà Rịa - Vũng Tàu,201902,27.23,71.77,0.11
Bà Rịa - Vũng Tàu,201903,28.74,68.26,0.67
Bà Rịa - Vũng Tàu,201904,30.14,68.05,1.04
Bà Rịa - Vũng Tàu,201905,29.41,79.2,6.36
Bà Rịa - Vũng Tàu,201906,28.16,85.87,11.11
Bà Rịa - Vũng Tàu,201907,27.19,87.81,8.13
Bà Rịa - Vũng Tàu,201908,27.14,89.4,8.14
Bà Rịa - Vũng Tàu,201909,27.09,87.3,7.27
Bà Rịa - Vũng Tàu,201910,27.64,84.15,2.64
Bà Rịa - Vũng Tàu,201911,26.59,83.5,3.85
Bà Rịa - Vũng Tàu,201912,25.9,76.41,0.0
Bà Rịa - Vũng Tàu,201913,27.6,80.0,4.21
Bà Rịa - Vũng Tàu,202001,27.15,69.33,0.02
Bà Rịa - Vũng Tàu,202002,27.72,63.61,0.03
Bà Rịa - Vũng Tàu,202003,29.03,67.45,0.37
Bà Rịa - Vũng Tàu,202004,30.08,66.75,0.8
Bà Rịa - Vũng Tàu,202005,30.54,71.03,3.17
Bà Rịa - Vũng Tàu,202006,28.04,84.65,21.23
Bà Rịa - Vũng Tàu,202007,27.6,85.33,6.57
Bà Rịa - Vũng Tàu,202008,27.25,88.56,7.36
Bà Rịa - Vũng Tàu,202009,27.32,87.07,9.65
Bà Rịa - Vũng Tàu,202010,26.54,90.65,15.18
Bà Rịa - Vũng Tàu,202011,26.85,85.14,3.07
Bà Rịa - Vũng Tàu,202012,25.71,84.19,2.05
Bà Rịa - Vũng Tàu,202013,27.82,78.7,5.79
Bà Rịa - Vũng Tàu,202101,25.06,79.02,0.32
Bà Rịa - Vũng Tàu,202102,26.21,71.87,0.15
Bà Rịa - Vũng Tàu,202103,28.62,68.03,0.02
Bà Rịa - Vũng Tàu,202104,28.96,73.96,4.86
Bà Rịa - Vũng Tàu,202105,28.52,82.3,8.68
Bà Rịa - Vũng Tàu,202106,27.58,86.35,6.4
Bà Rịa - Vũng Tàu,202107,27.25,87.61,9.03
Bà Rịa - Vũng Tàu,202108,27.38,86.93,7.93
Bà Rịa - Vũng Tàu,202109,26.76,88.19,9.74
Bà Rịa - Vũng Tàu,202110,26.93,88.7,9.52
Bà Rịa - Vũng Tàu,202111,26.66,88.86,5.57
Bà Rịa - Vũng Tàu,202112,25.74,82.4,0.24
Bà Rịa - Vũng Tàu,202113,27.14,82.08,5.23
Bà Rịa - Vũng Tàu,202201,25.94,79.42,0.04
Bà Rịa - Vũng Tàu,202202,27.82,71.56,0.21
Bà Rịa - Vũng Tàu,202203,28.7,72.15,3.53
Bà Rịa - Vũng Tàu,202204,28.64,76.29,3.73
Bà Rịa - Vũng Tàu,202205,28.1,83.62,9.25
Bà Rịa - Vũng Tàu,202206,27.83,85.12,6.36
Bà Rịa - Vũng Tàu,202207,27.28,87.78,10.71
Bà Rịa - Vũng Tàu,202208,27.06,87.81,7.35
Bà Rịa - Vũng Tàu,202209,27.04,87.62,6.81
Bà Rịa - Vũng Tàu,202210,26.84,86.69,6.26
Bà Rịa - Vũng Tàu,202211,26.59,87.61,5.89
Bà Rịa - Vũng Tàu,202212,25.48,81.82,2.43
Bà Rịa - Vũng Tàu,202213,27.27,82.36,5.25
Bà Rịa - Vũng Tàu,202301,25.72,81.26,0.8
Bà Rịa - Vũng Tàu,202302,27.04,73.76,0.08
Bà Rịa - Vũng Tàu,202303,27.64,67.46,0.0
Bà Rịa - Vũng Tàu,202304,30.12,69.33,0.56
Bà Rịa - Vũng Tàu,202305,29.93,74.69,4.85
Bà Rịa - Vũng Tàu,202306,28.08,85.45,8.13
Bà Rịa - Vũng Tàu,202307,27.58,87.24,12.07
Bà Rịa - Vũng Tàu,202308,27.84,87.33,5.05
Bà Rịa - Vũng Tàu,202309,27.35,88.14,10.69
Bà Rịa - Vũng Tàu,202310,27.68,86.0,7.51
Bà Rịa - Vũng Tàu,202311,27.3,85.63,4.4
Bà Rịa - Vũng Tàu,202312,26.86,83.74,1.04
Bà Rịa - Vũng Tàu,202313,27.76,80.88,4.62
Bà Rịa - Vũng Tàu,202401,26.98,75.29,0.01
Bà Rịa - Vũng Tàu,202402,28.23,70.16,0.0
Bà Rịa - Vũng Tàu,202403,29.22,67.74,0.01
Bà Rịa - Vũng Tàu,202404,31.15,64.81,0.09
Bà Rịa - Vũng Tàu,202405,30.68,73.78,6.31
Bà Rịa - Vũng Tàu,202406,28.56,83.8,7.52
Bà Rịa - Vũng Tàu,202407,27.64,87.03,10.9
Bà Rịa - Vũng Tàu,202408,27.97,87.15,6.35
Bà Rịa - Vũng Tàu,202409,27.47,88.72,9.39
Bà Rịa - Vũng Tàu,202410,27.39,87.4,8.69
Bà Rịa - Vũng Tàu,202411,27.31,85.13,3.31
Bà Rịa - Vũng Tàu,202412,26.16,84.92,4.01
Bà Rịa - Vũng Tàu,202413,28.23,79.7,4.74
Bà Rịa - Vũng Tàu,202501,25.45,77.48,0.07
Bà Rịa - Vũng Tàu,202502,27.15,73.04,0.19
Bà Rịa - Vũng Tàu,202503,28.75,68.81,0.53
Bắc Giang,201501,13.91,81.59,1.29
Bắc Giang,201502,16.98,83.75,1.06
Bắc Giang,201503,20.57,84.26,1.18
Bắc Giang,201504,23.06,76.83,1.0
Bắc Giang,201505,27.16,85.66,4.61
Bắc Giang,201506,27.42,87.48,5.56
Bắc Giang,201507,26.98,83.53,9.41
Bắc Giang,201508,26.84,85.96,9.54
Bắc Giang,201509,26.1,88.12,8.56
Bắc Giang,201510,22.87,82.2,1.41
Bắc Giang,201511,20.96,87.21,4.14
Bắc Giang,201512,14.49,83.8,2.3
Bắc Giang,201513,22.3,84.2,4.19
Bắc Giang,201601,13.75,85.44,5.52
Bắc Giang,201602,12.51,76.12,0.3
Bắc Giang,201603,18.3,82.45,1.04
Bắc Giang,201604,24.11,86.69,5.01
Bắc Giang,201605,25.61,85.14,4.09
Bắc Giang,201606,27.25,87.87,7.86
Bắc Giang,201607,27.03,89.5,11.79
Bắc Giang,201608,26.9,87.85,12.99
Bắc Giang,201609,25.65,86.26,6.13
Bắc Giang,201610,23.51,84.31,2.22
Bắc Giang,201611,18.52,84.12,1.03
Bắc Giang,201612,16.17,77.73,0.23
Bắc Giang,201613,21.63,84.48,4.87
Bắc Giang,201701,16.01,83.12,2.38
Bắc Giang,201702,15.98,78.41,0.92
Bắc Giang,201703,20.21,83.48,3.11
Bắc Giang,201704,22.67,80.33,1.3
Bắc Giang,201705,25.27,80.58,4.9
Bắc Giang,201706,27.06,88.43,10.59
Bắc Giang,201707,26.72,88.66,12.76
Bắc Giang,201708,26.71,90.26,11.77
Bắc Giang,201709,26.65,89.49,7.43
Bắc Giang,201710,22.0,87.21,7.94
Bắc Giang,201711,18.31,84.64,0.55
Bắc Giang,201712,13.53,79.12,1.47
Bắc Giang,201713,21.79,84.51,5.47
Bắc Giang,201801,14.26,82.33,1.01
Bắc Giang,201802,14.17,78.39,0.46
Bắc Giang,201803,19.7,81.27,1.96
Bắc Giang,201804,22.06,81.27,2.61
Bắc Giang,201805,26.28,86.93,4.17
Bắc Giang,201806,27.15,85.51,6.47
Bắc Giang,201807,26.94,88.27,15.44
Bắc Giang,201808,27.01,87.98,14.74
Bắc Giang,201809,25.49,86.82,6.14
Bắc Giang,201810,21.94,84.44,4.1
Bắc Giang,201811,19.97,85.22,2.15
Bắc Giang,201812,14.96,85.32,1.6
Bắc Giang,201813,21.7,84.53,5.12
Bắc Giang,201901,14.2,85.66,0.91
Bắc Giang,201902,19.4,86.49,2.14
Bắc Giang,201903,20.52,85.54,2.15
Bắc Giang,201904,25.23,85.87,3.42
Bắc Giang,201905,25.68,86.8,5.79
Bắc Giang,201906,27.6,90.1,7.39
Bắc Giang,201907,27.35,89.75,8.16
Bắc Giang,201908,27.23,88.78,14.61
Bắc Giang,201909,25.51,83.09,5.11
Bắc Giang,201910,22.94,86.5,3.36
Bắc Giang,201911,18.68,82.06,1.02
Bắc Giang,201912,15.19,76.36,0.12
Bắc Giang,201913,22.47,85.58,4.54
Bắc Giang,202001,16.09,83.73,2.97
Bắc Giang,202002,16.85,83.22,2.27
Bắc Giang,202003,20.92,85.23,3.49
Bắc Giang,202004,20.38,83.21,3.59
Bắc Giang,202005,26.5,86.58,3.92
Bắc Giang,202006,27.53,89.16,5.15
Bắc Giang,202007,27.51,87.98,2.3
Bắc Giang,202008,26.74,89.05,13.48
Bắc Giang,202009,26.22,88.87,8.79
Bắc Giang,202010,21.05,86.71,17.88
Bắc Giang,202011,19.0,84.24,0.55
Bắc Giang,202012,12.84,78.99,0.15
Bắc Giang,202013,21.81,85.59,5.4
Bắc Giang,202101,12.53,75.52,0.03
Bắc Giang,202102,17.52,81.88,2.28
Bắc Giang,202103,20.72,85.01,1.25
Bắc Giang,202104,23.56,85.8,4.89
Bắc Giang,202105,26.58,88.39,5.23
Bắc Giang,202106,27.39,86.49,6.36
Bắc Giang,202107,27.5,86.9,7.09
Bắc Giang,202108,27.29,88.69,10.18
Bắc Giang,202109,26.28,87.99,8.58
Bắc Giang,202110,21.28,86.17,7.02
Bắc Giang,202111,17.97,80.69,0.72
Bắc Giang,202112,14.2,76.53,0.13
Bắc Giang,202113,21.92,84.18,4.49
Bắc Giang,202201,15.41,84.94,2.39
Bắc Giang,202202,12.68,84.32,5.3
Bắc Giang,202203,20.75,85.27,2.28
Bắc Giang,202204,21.86,79.53,1.72
Bắc Giang,202205,23.99,84.97,10.52
Bắc Giang,202206,26.65,90.67,7.45
Bắc Giang,202207,27.03,88.68,8.91
Bắc Giang,202208,26.79,89.18,14.95
Bắc Giang,202209,26.18,85.36,7.96
Bắc Giang,202210,21.39,81.8,3.67
Bắc Giang,202211,21.46,86.16,1.58
Bắc Giang,202212,12.38,73.9,0.2
Bắc Giang,202213,21.42,84.56,5.59
Bắc Giang,202301,13.38,75.58,0.88
Bắc Giang,202302,17.64,82.07,2.21
Bắc Giang,202303,20.17,81.69,1.1
Bắc Giang,202304,23.71,83.5,2.14
Bắc Giang,202305,26.35,82.38,2.8
Bắc Giang,202306,27.36,88.25,13.48
Bắc Giang,202307,27.87,86.61,5.51
Bắc Giang,202308,27.03,88.57,10.81
Bắc Giang,202309,26.01,88.22,10.59
Bắc Giang,202310,23.24,85.07,1.64
Bắc Giang,202311,19.9,82.92,1.13
Bắc Giang,202312,15.27,79.35,0.44
Bắc Giang,202313,22.35,83.68,4.39
Bắc Giang,202401,15.11,85.35,2.27
Bắc Giang,202402,17.0,81.6,0.55
Bắc Giang,202403,20.4,81.7,1.48
Bắc Giang,202404,26.06,83.24,2.09
Bắc Giang,202405,25.87,85.39,11.61
Bắc Giang,202406,27.39,90.36,14.26
Bắc Giang,202407,27.34,90.01,15.4
Bắc Giang,202408,27.36,89.44,9.76
Bắc Giang,202409,26.29,88.7,16.67
Bắc Giang,202410,22.22,82.31,0.82
Bắc Giang,202411,19.62,78.12,0.2
Bắc Giang,202412,14.38,74.25,0.06
Bắc Giang,202413,22.42,84.21,6.27
Bắc Giang,202501,14.07,72.53,0.12
Bắc Giang,202502,15.4,80.77,1.19
Bắc Giang,202503,18.92,75.25,0.71
Bắc Kạn,201501,12.64,82.73,1.83
Bắc Kạn,201502,15.56,82.9,0.69
Bắc Kạn,201503,19.35,83.63,1.25
Bắc Kạn,201504,22.0,76.38,1.4
Bắc Kạn,201505,26.45,81.3,6.14
Bắc Kạn,201506,26.18,87.06,6.15
Bắc Kạn,201507,26.14,81.78,7.06
Bắc Kạn,201508,25.85,83.47,8.5
Bắc Kạn,201509,24.82,86.57,6.88
Bắc Kạn,201510,21.54,82.32,2.17
Bắc Kạn,201511,19.6,87.42,4.36
Bắc Kạn,201512,13.4,85.46,2.63
Bắc Kạn,201513,21.15,83.41,4.11
Bắc Kạn,201601,12.54,85.79,1.73
Bắc Kạn,201602,11.73,73.83,0.37
Bắc Kạn,201603,17.67,81.58,0.92
Bắc Kạn,201604,23.45,83.61,3.55
Bắc Kạn,201605,24.84,83.02,3.84
Bắc Kạn,201606,26.51,83.18,4.85
Bắc Kạn,201607,26.24,85.86,7.71
Bắc Kạn,201608,26.56,82.95,9.75
Bắc Kạn,201609,24.87,82.97,4.5
Bắc Kạn,201610,22.66,83.19,1.54
Bắc Kạn,201611,17.74,82.89,1.19
Bắc Kạn,201612,15.06,76.51,0.13
Bắc Kạn,201613,20.85,82.15,3.35
Bắc Kạn,201701,14.85,84.22,3.49
Bắc Kạn,201702,15.12,78.51,0.53
Bắc Kạn,201703,19.26,82.01,3.37
Bắc Kạn,201704,21.88,79.1,2.77
Bắc Kạn,201705,24.38,77.9,4.05
Bắc Kạn,201706,26.11,85.61,9.2
Bắc Kạn,201707,25.98,85.5,10.66
Bắc Kạn,201708,25.82,87.14,11.68
Bắc Kạn,201709,25.69,87.16,5.88
Bắc Kạn,201710,21.11,85.83,4.32
Bắc Kạn,201711,17.37,83.51,1.16
Bắc Kạn,201712,12.28,79.9,1.07
Bắc Kạn,201713,20.85,83.06,4.88
Bắc Kạn,201801,13.24,83.38,1.65
Bắc Kạn,201802,13.44,79.9,0.6
Bắc Kạn,201803,19.13,81.11,2.4
Bắc Kạn,201804,21.29,80.98,2.52
Bắc Kạn,201805,25.02,85.51,6.42
Bắc Kạn,201806,25.92,83.73,8.1
Bắc Kạn,201807,26.29,85.31,8.17
Bắc Kạn,201808,26.42,84.43,13.36
Bắc Kạn,201809,24.41,85.3,5.06
Bắc Kạn,201810,20.33,85.0,4.22
Bắc Kạn,201811,18.58,82.98,0.97
Bắc Kạn,201812,14.19,85.26,1.04
Bắc Kạn,201813,20.73,83.61,4.58
Bắc Kạn,201901,13.47,86.7,1.97
Bắc Kạn,201902,18.01,85.14,1.68
Bắc Kạn,201903,19.38,84.75,2.14
Bắc Kạn,201904,24.1,83.34,3.25
Bắc Kạn,201905,24.95,83.65,5.14
Bắc Kạn,201906,26.54,87.67,9.05
Bắc Kạn,201907,26.27,87.78,8.32
Bắc Kạn,201908,26.8,84.65,9.07
Bắc Kạn,201909,24.44,80.45,5.08
Bắc Kạn,201910,21.65,86.14,3.54
Bắc Kạn,201911,17.58,82.2,0.63
Bắc Kạn,201912,13.83,78.24,0.27
Bắc Kạn,201913,21.43,84.23,4.2
Bắc Kạn,202001,15.18,84.35,1.22
Bắc Kạn,202002,15.53,83.53,1.56
Bắc Kạn,202003,19.69,83.69,4.35
Bắc Kạn,202004,19.46,82.58,4.83
Bắc Kạn,202005,25.78,84.16,5.49
Bắc Kạn,202006,26.41,88.06,4.98
Bắc Kạn,202007,26.35,86.94,4.19
Bắc Kạn,202008,25.92,86.34,8.67
Bắc Kạn,202009,24.82,88.0,9.31
Bắc Kạn,202010,19.93,84.76,5.3
Bắc Kạn,202011,17.93,83.41,0.58
Bắc Kạn,202012,11.89,80.0,0.06
Bắc Kạn,202013,20.75,84.65,4.22
Bắc Kạn,202101,11.22,78.21,0.23
Bắc Kạn,202102,16.44,83.53,2.12
Bắc Kạn,202103,19.95,83.3,1.2
Bắc Kạn,202104,22.48,84.54,3.23
Bắc Kạn,202105,25.8,84.89,4.55
Bắc Kạn,202106,26.49,83.68,7.41
Bắc Kạn,202107,26.76,83.48,5.94
Bắc Kạn,202108,26.68,84.58,6.64
Bắc Kạn,202109,25.47,84.15,4.99
Bắc Kạn,202110,20.26,83.18,5.91
Bắc Kạn,202111,16.8,82.25,1.14
Bắc Kạn,202112,13.31,77.47,0.51
Bắc Kạn,202113,20.99,82.76,3.66
Bắc Kạn,202201,13.86,86.06,1.99
Bắc Kạn,202202,11.83,83.49,3.4
Bắc Kạn,202203,20.4,84.49,3.38
Bắc Kạn,202204,21.27,77.85,2.56
Bắc Kạn,202205,22.82,83.2,11.58
Bắc Kạn,202206,25.54,88.74,8.15
Bắc Kạn,202207,26.45,86.37,4.67
Bắc Kạn,202208,26.26,85.47,8.08
Bắc Kạn,202209,24.8,84.06,5.82
Bắc Kạn,202210,20.84,80.21,2.04
Bắc Kạn,202211,20.32,83.93,1.58
Bắc Kạn,202212,11.79,75.45,0.62
Bắc Kạn,202213,20.56,83.27,4.5
Bắc Kạn,202301,12.23,74.41,0.08
Bắc Kạn,202302,16.69,80.86,1.83
Bắc Kạn,202303,19.29,80.0,0.61
Bắc Kạn,202304,23.33,78.94,1.47
Bắc Kạn,202305,26.08,76.27,2.16
Bắc Kạn,202306,26.63,83.52,7.53
Bắc Kạn,202307,27.1,82.51,6.03
Bắc Kạn,202308,26.39,85.76,11.54
Bắc Kạn,202309,25.22,83.8,5.39
Bắc Kạn,202310,22.25,82.36,1.17
Bắc Kạn,202311,18.84,80.18,1.47
Bắc Kạn,202312,14.73,78.31,0.44
Bắc Kạn,202313,21.58,80.56,3.31
Bắc Kạn,202401,14.17,84.72,2.28
Bắc Kạn,202402,16.54,78.49,0.31
Bắc Kạn,202403,20.02,77.51,0.99
Bắc Kạn,202404,25.81,75.72,1.88
Bắc Kạn,202405,25.04,82.7,9.94
Bắc Kạn,202406,26.47,86.94,13.84
Bắc Kạn,202407,26.71,86.49,12.16
Bắc Kạn,202408,26.38,87.38,15.85
Bắc Kạn,202409,25.48,85.85,11.36
Bắc Kạn,202410,21.37,81.57,1.33
Bắc Kạn,202411,18.48,79.31,0.09
Bắc Kạn,202412,12.85,78.16,0.27
Bắc Kạn,202413,21.61,82.09,5.88
Bắc Kạn,202501,12.72,74.69,0.27
Bắc Kạn,202502,13.9,82.66,0.94
Bắc Kạn,202503,18.29,75.4,0.57
Bạc Liêu,201501,25.23,76.03,0.45
Bạc Liêu,201502,26.32,68.61,0.02
Bạc Liêu,201503,28.74,64.38,0.01
Bạc Liêu,201504,30.64,61.71,0.42
Bạc Liêu,201505,30.87,66.21,2.27
Bạc Liêu,201506,28.54,78.87,8.17
Bạc Liêu,201507,27.51,85.71,4.14
Bạc Liêu,201508,27.19,86.25,4.82
Bạc Liêu,201509,27.1,87.77,11.1
Bạc Liêu,201510,27.11,86.84,4.87
Bạc Liêu,201511,26.81,88.59,5.42
Bạc Liêu,201512,26.52,83.66,1.1
Bạc Liêu,201513,27.72,77.95,3.57
Bạc Liêu,201601,27.42,74.96,0.09
Bạc Liêu,201602,27.79,66.27,0.06
Bạc Liêu,201603,28.95,63.84,0.0
Bạc Liêu,201604,31.4,59.52,0.06
Bạc Liêu,201605,30.38,72.25,8.09
Bạc Liêu,201606,27.57,86.34,7.22
Bạc Liêu,201607,27.11,88.39,8.44
Bạc Liêu,201608,27.08,89.24,6.1
Bạc Liêu,201609,26.86,89.28,10.44
Bạc Liêu,201610,26.4,91.91,13.45
Bạc Liêu,201611,26.62,89.4,7.65
Bạc Liêu,201612,25.64,89.27,3.71
Bạc Liêu,201613,27.76,80.12,5.46
Bạc Liêu,201701,25.75,85.2,1.57
Bạc Liêu,201702,26.23,78.17,1.44
Bạc Liêu,201703,27.79,72.76,1.08
Bạc Liêu,201704,29.17,73.27,3.48
Bạc Liêu,201705,28.88,80.34,7.81
Bạc Liêu,201706,27.73,85.41,4.23
Bạc Liêu,201707,27.12,87.31,7.5
